   Episode      Step   Epsilon  Get_resultnum     MeanReward     MeanLength       MeanLoss     MeanQValue      TimeDelta                Time
       590  402653   0.919             0        0.164        8.795       -0.040        0.066       57.021 2023-01-18T23:15:24
       600  411929   0.917             0        0.189        8.877       -0.041        0.064       61.121 2023-01-18T23:16:26
       610  420750   0.915             1        0.208        8.939       -0.047        0.063       57.182 2023-01-18T23:17:23
       620  430533   0.914             0        0.259        9.101       -0.049        0.062       61.087 2023-01-18T23:18:24
       630  440690   0.912             2        0.324        9.303       -0.048        0.064       63.524 2023-01-18T23:19:27
       640  450738   0.910             3        0.364        9.416       -0.051        0.062       64.454 2023-01-18T23:20:32
       650  460389   0.908             3        0.381        9.449       -0.054        0.061       62.636 2023-01-18T23:21:34
       660  468854   0.906             0        0.346        9.334       -0.059        0.057       56.458 2023-01-18T23:22:31
       670  476306   0.905             0        0.302        9.172       -0.058        0.062       56.797 2023-01-18T23:23:28
       680  484004   0.903             1        0.272        9.034       -0.057        0.062       59.579 2023-01-18T23:24:27
       690  492554   0.902             1        0.264        8.990       -0.054        0.063       60.076 2023-01-18T23:25:27
       700  503031   0.900             5        0.312        9.110       -0.057        0.063       71.263 2023-01-18T23:26:39
       710  513014   0.898             1        0.357        9.226       -0.057        0.063       68.045 2023-01-18T23:27:47
       720  523416   0.896             4        0.383        9.288       -0.055        0.065       72.333 2023-01-18T23:28:59
       730  534023   0.894             2        0.401        9.333       -0.051        0.066       73.745 2023-01-18T23:30:13
       740  543034   0.892             1        0.377        9.230       -0.049        0.071       63.715 2023-01-18T23:31:16
       750  551503   0.891             0        0.351        9.111       -0.053        0.070       55.397 2023-01-18T23:32:12
       760  560035   0.889             2        0.368        9.118       -0.050        0.071       63.173 2023-01-18T23:33:15
       770  568291   0.888             2        0.403        9.199       -0.048        0.075       56.444 2023-01-18T23:34:12
       780  576723   0.886             0        0.426        9.272       -0.054        0.076       57.710 2023-01-18T23:35:09
       790  586758   0.884             4        0.475        9.420       -0.054        0.077       71.279 2023-01-18T23:36:20
       800  595987   0.882             2        0.430        9.296       -0.054        0.080       63.317 2023-01-18T23:37:24
       810  605357   0.881             0        0.407        9.234       -0.060        0.078       60.825 2023-01-18T23:38:25
       820  612881   0.879             1        0.320        8.947       -0.068        0.077       52.398 2023-01-18T23:39:17
       830  620724   0.878             1        0.235        8.670       -0.074        0.076       50.155 2023-01-18T23:40:07
