        Episode           Step   Epsilon  Get_resultnum     MeanReward     MeanLength       MeanLoss     MeanQValue      TimeDelta DDPGn  PPOn DPGnn  DQNn DDQNn MMANn                          Loss                            Qs                Time
             27          16125     0.960              0         -0.577          9.320        109.399        109.420         12.559   265   116    61    62    57   371       [0, 0, 0, 0, 0, 6.6948]      [0, 0, 0, 0, 0, -0.0201] 2024-12-04T09:40:39
             28          17117     0.958              0         -0.545          9.920         75.040         75.040         12.758   267   133    52    73    77   390            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:40:52
             29          17931     0.956              0         -0.637          8.140        139.105        139.105         12.588   199   119    62    67    58   309[0, 18349.8105, 4.4981, 0, 0, 8.9442][0, 0.0004, 6.2383, 0, 0, 0.0117] 2024-12-04T09:41:05
             30          18744     0.954              0         -0.636          8.130        118.179        118.179         12.026   209   113    75    60    64   292       [0, 0, 0, 0, 0, 8.0167]      [0, 0, 0, 0, 0, -0.0204] 2024-12-04T09:41:17
             31          19581     0.952              0         -0.622          8.370         86.231         86.231         12.560   215   124    64    80    62   292       [0, 0, 0, 0, 0, 7.7425]      [0, 0, 0, 0, 0, -0.0527] 2024-12-04T09:41:29
             32          20414     0.950              0         -0.625          8.330         99.135         99.135         12.074   241   114    67    50    55   306            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:41:41
             33          21152     0.948              0         -0.675          7.380         75.527         75.527         11.308   174   134    66    50    53   261            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:41:53
             34          21891     0.947              0         -0.677          7.390         72.121         72.121         11.744   173   137    62    56    61   250   [0, 0, 0, 0, 0.145, 8.4148]   [0, 0, 0, 0, 0.3152, -0.06] 2024-12-04T09:42:05
             35          22651     0.945              0         -0.665          7.600        243.202        243.256         12.117   149   148    62    81    60   260            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:42:17
             36          23183     0.944              0         -0.782          5.320          1.909          1.909          9.978    71   117    56    68    66   154            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:42:27
             37          23696     0.942              0         -0.793          5.130        148.789        148.789         10.088    50   146    62    54    67   134            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:42:37
             38          24163     0.941              0         -0.820          4.670        147.030        147.030          9.840    41   108    75    63    73   107            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:42:47
             39          24670     0.940              0         -0.798          5.070        110.914        110.914         10.292    47   140    58    58    75   129            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:42:57
             40          25178     0.939              0         -0.799          5.080        174.051        174.051          9.982    41   138    69    59    59   142            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:43:07
             41          25730     0.938              0         -0.774          5.520         93.224         93.224         10.556    40   155    57    57    76   167            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:43:17
             42          26258     0.936              0         -0.787          5.280          1.789          1.789         10.218    40   142    75    71    60   140            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:43:28
             43          26729     0.935              0         -0.817          4.710        185.500        185.500         10.061    40   137    69    49    54   122            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:43:38
             44          27311     0.934              0         -0.760          5.820        162.346        162.346         10.720    40   175    63    72    75   157            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:43:48
             45          27842     0.933              0         -0.787          5.310        180.752        180.752         10.387    40   154    65    64    71   137            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:43:59
             46          28462     0.931              0         -0.740          6.200        183.276        183.276         11.350    40   199    76    57    64   184            [0, 0, 0, 0, 0, 0]            [0, 0, 0, 0, 0, 0] 2024-12-04T09:44:10
             47          29253     0.929              0         -0.647          7.910        119.827        119.827         11.932   144   223    80    78    71   195     [0, 0, 0, 0, 0, 137.1137]       [0, 0, 0, 0, 0, 0.0515] 2024-12-04T09:44:22
             48         171819     0.651             95        215.250       1425.660      23405.869        293.694        968.401142515    16     5     3     7    20 [-27.6361, 0, 0, 0, 0, 1.225] [-0.0023, 0, 0, 0, 0, 0.1814] 2024-12-04T10:00:30
             49         321819     0.447            100        226.598       1500.000      24563.410          0.958       1112.662150000     0     0     0     0     0  [0, 0, 0, 0, 0.0091, 7.4411]  [0, 0, 0, 0, 0.6241, 0.1793] 2024-12-04T10:19:03
             50         471819     0.307            100        226.598       1500.000      23951.561          5.197       1237.859150000     0     0     0     0     0[0, 208893.1094, 7.1653, 0, 0, 18.7486][0, -0.0, 6.2383, 0, 0, 0.1609] 2024-12-04T10:39:41
             51         621819     0.211            100        226.598       1500.000      22048.778         12.013       1498.268150000     0     0     0     0     0[-49.815, 0, 0, 0, 0, 31.5374] [-0.0037, 0, 0, 0, 0, 0.2031] 2024-12-04T11:04:39
